Amp,Realness,Subject,Emotion,Gender,Eye
4.43850197549271,3,6,1,1,10355
2.36894100013271,3,7,1,1,10355
0.753400009036485,3,8,1,1,10355
0.165891029436758,3,9,1,1,10355
1.27524746392393,3,10,1,1,10355
4.44170778432989,3,1,2,0,17477
2.08147956737505,3,2,2,0,17477
3.63758844072026,3,3,2,0,17477
-0.233481414214308,3,4,2,0,17477
3.83254107599168,3,5,2,0,17477
2.96914635718867,3,6,2,0,17477
2.53295134780546,3,7,2,0,17477
0.553663354685718,3,8,2,0,17477
1.37482194502746,3,9,2,0,17477
1.34573160048759,3,10,2,0,17477
5.12785565193559,3,1,2,1,13113
1.16844026240745,3,2,2,1,13113
3.85978572220331,3,3,2,1,13113
1.25608941299787,3,4,2,1,13113
3.55517630295267,3,5,2,1,13113
3.0966278752767,3,6,2,1,13113
1.92419307821031,3,7,2,1,13113
0.328168175383458,3,8,2,1,13113
0.847291385165206,3,9,2,1,13113
1.60355503531768,3,10,2,1,13113
3.69597458109,3,1,3,0,18402
1.43057455344965,3,2,3,0,18402
2.48212307884984,3,3,3,0,18402
0.604668937027705,3,4,3,0,18402
3.17463913970163,3,5,3,0,18402
3.76742899697447,3,6,3,0,18402
2.29973254302313,3,7,3,0,18402
0.532125303187579,3,8,3,0,18402
1.66083795241944,3,9,3,0,18402
1.65527581925886,3,10,3,0,18402
2.93046650971057,3,1,3,1,14541
1.15441701050125,3,2,3,1,14541
2.68967564687172,3,3,3,1,14541
0.293765158358218,3,4,3,1,14541
2.76702359321454,3,5,3,1,14541
3.09418157833917,3,6,3,1,14541
2.61237349437184,3,7,3,1,14541
1.31529862211594,3,8,3,1,14541
-0.0283089654549657,3,9,3,1,14541
0.492464096864965,3,10,3,1,14541
5.65743307367731,4,1,1,0,12349
1.4128264738224,4,2,1,0,12349
4.07465894906831,4,3,1,0,12349
0.601041571119314,4,4,1,0,12349
2.68427889108732,4,5,1,0,12349
4.44239846658685,4,6,1,0,12349
2.8471213837541,4,7,1,0,12349
1.7593962663398,4,8,1,0,12349
1.14501423847294,4,9,1,0,12349
1.19905782849388,4,10,1,0,12349
3.45279605393727,4,1,1,1,8266
1.21696021936181,4,2,1,1,8266
4.51995043419061,4,3,1,1,8266
0.895094643009569,4,4,1,1,8266
4.34493889942351,4,5,1,1,8266
5.85670065065415,4,6,1,1,8266
1.89809032807422,4,7,1,1,8266
1.97104979894041,4,8,1,1,8266
0.72554225969894,4,9,1,1,8266
0.964725402717007,4,10,1,1,8266
4.82307384861211,4,1,2,0,14718
0.887878148923598,4,2,2,0,14718
3.59596264015206,4,3,2,0,14718
0.0933249560823064,4,4,2,0,14718
2.10522220076574,4,5,2,0,14718
4.80818278984344,4,6,2,0,14718
2.61963535915072,4,7,2,0,14718
2.72593621195027,4,8,2,0,14718
1.03852968920585,4,9,2,0,14718
1.8322574576757,4,10,2,0,14718
4.19649119736504,4,1,2,1,7974
1.5881409320836,4,2,2,1,7974
3.98032598668344,4,3,2,1,7974
-0.0941539570212597,4,4,2,1,7974
3.35596887103926,4,5,2,1,7974
4.64006294577996,4,6,2,1,7974
3.39353708372636,4,7,2,1,7974
2.26660225002468,4,8,2,1,7974
0.793401087202779,4,9,2,1,7974
0.948640971040896,4,10,2,1,7974
4.50687731247986,4,1,3,0,14052
1.24636745408957,4,2,3,0,14052
2.83309996488167,4,3,3,0,14052
-0.221633420934532,4,4,3,0,14052
2.52553347663483,4,5,3,0,14052
3.89107999750416,4,6,3,0,14052
2.94435246576043,4,7,3,0,14052
2.86596080417756,4,8,3,0,14052
1.75768444292733,4,9,3,0,14052
1.12651673085447,4,10,3,0,14052
3.83151708996552,4,1,3,1,10712
0.454059172626409,4,2,3,1,10712
3.55431263821115,4,3,3,1,10712
0.0935905160249958,4,4,3,1,10712
3.00842128726994,4,5,3,1,10712
4.59805377900707,4,6,3,1,10712
2.05488068276233,4,7,3,1,10712
2.7862098958601,4,8,3,1,10712
0.713151284917099,4,9,3,1,10712
-0.0694584722160756,4,10,3,1,10712
4.57921203299445,5,1,1,0,4943
1.88249587893101,5,2,1,0,4943
5.01521314694232,5,3,1,0,4943
0.167495790140317,5,4,1,0,4943
3.65088273208945,5,5,1,0,4943
